# Best tour found
# Cities: 50
# Total distance: 570.4160
# order,city_index,city_name
0,26,City_27
1,27,City_28
2,0,City_1
3,12,City_13
4,4,City_5
5,37,City_38
6,43,City_44
7,1,City_2
8,46,City_47
9,47,City_48
10,19,City_20
11,48,City_49
12,9,City_10
13,30,City_31
14,42,City_43
15,11,City_12
16,23,City_24
17,8,City_9
18,32,City_33
19,13,City_14
20,22,City_23
21,45,City_46
22,33,City_34
23,3,City_4
24,16,City_17
25,34,City_35
26,5,City_6
27,21,City_22
28,36,City_37
29,20,City_21
30,29,City_30
31,28,City_29
32,49,City_50
33,2,City_3
34,7,City_8
35,18,City_19
36,41,City_42
37,39,City_40
38,24,City_25
39,15,City_16
40,10,City_11
41,14,City_15
42,38,City_39
43,35,City_36
44,6,City_7
45,31,City_32
46,44,City_45
47,40,City_41
48,25,City_26
49,17,City_18
50,26,City_27  # return to start
