cities,algorithm,mean_length,std_length,mean_time_s
10,Hill Climbing,290.3067737918128,3.2818563180946156e-14,0.0057077220020194845
10,Simulated Annealing,290.30677379181276,0.0,0.3786817779764533
10,Tabu Search,290.30677379181276,0.0,0.16124722229627272
10,Genetic Algorithm,290.3067737918128,3.2818563180946156e-14,0.1800149443636959
20,Hill Climbing,386.42968948347,5.684341886080802e-14,0.00966799930514147
20,Simulated Annealing,386.42968948346993,0.0,0.4195242082932964
20,Tabu Search,386.42968948346993,0.0,0.1802650416502729
20,Genetic Algorithm,386.42968948346993,3.2818563180946156e-14,0.19775968068279326
30,Hill Climbing,493.3496569821302,24.883953280304436,0.013589346975398561
30,Simulated Annealing,454.7468723234149,2.841319403058297,0.4397775139659643
30,Tabu Search,453.19053500839937,1.0065907026885552,0.18917688867077231
30,Genetic Algorithm,459.25851785028743,0.9980196156267273,0.20996187499258667
40,Hill Climbing,543.2811485587481,9.388323769162238,0.01844345828673492
40,Simulated Annealing,490.1715876204666,0.31109170486129295,0.47991448602018255
40,Tabu Search,501.13461186164477,1.5235140693861768,0.20629786137336245
40,Genetic Algorithm,534.9555736351762,17.408884355599643,0.2304779723441849
50,Hill Climbing,597.8500803512983,10.876151872678374,0.023888374989231426
50,Simulated Annealing,590.3445486465174,11.283633577105718,0.5110972359931717
50,Tabu Search,598.9821603302652,7.668181450851165,0.22278815302221724
50,Genetic Algorithm,609.5360941011321,3.764308183420351,0.24233274968961874
